Win Total,2019 Spread,2018 Spread
Air Force,Air Force Falcons,AirForce
Akron,Akron Zips,Akron
Alabama,Alabama Crimson Tide,Alabama
Appalachian State,Appalachian State Mountaineers,AppalachianSt
Arizona,Arizona Wildcats,Arizona
,Arizona Wildcats,ArizonaU
Arizona State,Arizona State Sun Devils,ArizonaState
Arkansas,Arkansas Razorbacks,Arkansas
Arkansas State,Arkansas State Red Wolves,ArkansasState
Army,Army Black Knights,Army
Auburn,Auburn Tigers,Auburn
Ball State,Ball State Cardinals,BallState
Baylor,Baylor Bears,Baylor
Boise State,Boise State Broncos,BoiseState
Boston College,Boston College Eagles,BostonCollege
Bowling Green,Bowling Green State Falcons,BowlingGreen
Buffalo,Buffalo Bulls,BuffaloU
BYU,Brigham Young Cougars,BYU
California,California Golden Bears,California
UCF,Central Florida Knights,CentralFlorida
Central Michigan,Central Michigan Chippewas,CentralMichigan
Charlotte,North Carolina-Charlotte 49ers,Charlotte
Cincinnati,Cincinnati Bearcats,CincinnatiU
Clemson,Clemson Tigers,Clemson
Coastal Carolina,Coastal Carolina Chanticleers,CoastalCarolina
Colorado,Colorado Buffaloes,Colorado
Colorado State,Colorado State Rams,ColoradoState
Duke,Duke Blue Devils,Duke
East Carolina,East Carolina Pirates,EastCarolina
Eastern Michigan,Eastern Michigan Eagles,EasternMichigan
FAU,Florida Atlantic Owls,FloridaAtlantic
FIU,Florida International Golden Panthers,FloridaIntl
Florida,Florida Gators,Florida
Florida State,Florida State Seminoles,FloridaState
Fresno State,Fresno State Bulldogs,FresnoState
Georgia,Georgia Bulldogs,Georgia
Georgia Southern,Georgia Southern Eagles,GeorgiaSouthern
Georgia State,Georgia State Panthers,GeorgiaState
Georgia Tech,Georgia Tech Yellow Jackets,GeorgiaTech
Hawaii,Hawaii Warriors,Hawaii
Houston,Houston Cougars,Houston
,Houston Cougars,HoustonU
Idaho,Idaho Vandals,Idaho
Illinois,Illinois Fighting Illini,Illinois
Indiana,Indiana Hoosiers,Indiana
Iowa,Iowa Hawkeyes,Iowa
Iowa State,Iowa State Cyclones,IowaState
Kansas,Kansas Jayhawks,Kansas
Kansas State,Kansas State Wildcats,KansasState
Kent State,Kent State Golden Flashes,KentState
Kentucky,Kentucky Wildcats,Kentucky
Liberty,Liberty Flames,Liberty
Louisiana,Louisiana-Lafayette Ragin Cajuns,ULLafayette
Louisiana Tech,Louisiana Tech Bulldogs,LouisianaTech
Louisville,Louisville Cardinals,Louisville
LSU,Louisiana State Tigers,LSU
Marshall,Marshall Thundering Herd,Marshall
Maryland,Maryland Terrapins,Maryland
Memphis,Memphis Tigers,Memphis
Miami,Miami-Florida Hurricanes,MiamiFlorida
Miami (OH),Miami-Ohio Redhawks,MiamiOhio
Michigan,Michigan Wolverines,Michigan
Michigan State,Michigan State Spartans,MichiganState
Middle Tennessee,Middle Tennessee State Blue Raiders,MiddleTennSt
Minnesota,Minnesota Golden Gophers,MinnesotaU
Mississippi State,Mississippi State Bulldogs,MississippiState
,Mississippi State Bulldogs,MississippiSt
Missouri,Missouri Tigers,Missouri
